#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName|web_id_locator(deprecated)
1590559|2005-04-09T21:51:38.610000|44.424|7.254|2.3|BULLETIN-VAX||||Md|2.5|Bollettino Sismico Italiano INGV|CUNEO|0
1590569|2005-04-09T21:59:57.160000|42.954|10.945|7.9|BULLETIN-VAX||||Md|2.8|Bollettino Sismico Italiano INGV|GROSSETO|0
1590609|2005-04-10T01:24:15.710000|41.011|16.074|3.5|BULLETIN-VAX||||Md|3.0|Bollettino Sismico Italiano INGV|BARI|0
1590619|2005-04-10T01:31:37.010000|38.734|15.932|26.2|BULLETIN-VAX||||Md|2.6|Bollettino Sismico Italiano INGV|VIBO VALENTIA|0
1590629|2005-04-10T02:20:53.210000|43.025|10.885|5|BULLETIN-VAX||||Md|2.3|Bollettino Sismico Italiano INGV|GROSSETO|0
1590639|2005-04-10T03:03:57.740000|43.073|12.879|10|BULLETIN-VAX||||Md|2.3|Bollettino Sismico Italiano INGV|MACERATA|0
1590669|2005-04-10T05:10:53.500000|39.438|16.881|13.3|BULLETIN-VAX||||Md|2.7|Bollettino Sismico Italiano INGV|COSENZA|0
1590879|2005-04-11T01:32:18.080000|44.363|12.333|5|BULLETIN-VAX||||Md|2.7|Bollettino Sismico Italiano INGV|RAVENNA|0
1590959|2005-04-11T18:55:03.560000|43.278|10.846|5|BULLETIN-VAX||||Md|2.4|Bollettino Sismico Italiano INGV|PISA|0
1590999|2005-04-11T22:08:14.250000|42.329|12.653|14.3|BULLETIN-VAX||||Md|2.5|Bollettino Sismico Italiano INGV|RIETI|0
1591039|2005-04-12T00:31:51.610000|43.094|13.379|4.3|BULLETIN-VAX||||Md|3.5|Bollettino Sismico Italiano INGV|MACERATA|0
1591089|2005-04-12T03:02:56.440000|43.636|12.35|10|BULLETIN-VAX||||Md|2.2|Bollettino Sismico Italiano INGV|PESARO|0
1591129|2005-04-12T09:37:51.950000|43.909|8.384|7.5|BULLETIN-VAX||||Md|3.0|Bollettino Sismico Italiano INGV|SAVONA|0
1591249|2005-04-12T21:45:17.850000|38.572|12.344|5|BULLETIN-VAX||||Md|2.7|Bollettino Sismico Italiano INGV|TRAPANI|0
1591259|2005-04-12T23:23:46.770000|39.325|16.78|8|BULLETIN-VAX||||Md|2.7|Bollettino Sismico Italiano INGV|CROTONE|0
1591339|2005-04-13T05:48:46.040000|41.509|13.767|10|BULLETIN-VAX||||Md|2.6|Bollettino Sismico Italiano INGV|FROSINONE|0
1591349|2005-04-13T06:17:05.080000|40.862|15.209|13.5|BULLETIN-VAX||||Md|2.1|Bollettino Sismico Italiano INGV|AVELLINO|0
1591489|2005-04-13T13:19:19.880000|37.504|16.333|24|BULLETIN-VAX||||Md|3.1|Bollettino Sismico Italiano INGV|REGGIO CALABRIA|0
1591539|2005-04-13T18:46:07.690000|44.69|9.326|3|BULLETIN-VAX||||Md|3.4|Bollettino Sismico Italiano INGV|PIACENZA|0
1591619|2005-04-13T23:40:01.080000|41.591|14.784|11.7|BULLETIN-VAX||||Md|2.3|Bollettino Sismico Italiano INGV|CAMPOBASSO|0
